iter	Passed	Remaining
615	24488	15265
616	24521	15221
617	24552	15176
618	24585	15132
619	24620	15089
620	24654	15046
621	24687	15002
622	24720	14959
623	24751	14914
624	24784	14870
625	24823	14830
626	24860	14789
627	24899	14749
628	24933	14706
629	24968	14663
630	25004	14622
631	25041	14581
632	25077	14539
633	25115	14498
634	25152	14457
635	25187	14415
636	25223	14374
637	25287	14348
638	25339	14315
639	25399	14287
640	25462	14260
641	25516	14229
642	25568	14195
643	25628	14167
644	25699	14144
645	25763	14118
646	25835	14095
647	25993	14120
648	26076	14103
649	26165	14088
650	26240	14067
651	26307	14041
652	26366	14010
653	26398	13966
654	26432	13922
655	26481	13886
656	26534	13853
657	26596	13823
658	26649	13789
659	26706	13757
660	26752	13720
661	26792	13679
662	26827	13636
663	26860	13592
664	26893	13547
665	26925	13503
666	26959	13459
667	26990	13414
668	27025	13371
669	27056	13326
670	27097	13286
671	27155	13254
672	27224	13227
673	27275	13192
674	27322	13155
675	27366	13116
676	27418	13081
677	27458	13040
678	27502	13001
679	27553	12966
680	27609	12933
681	27677	12905
682	27754	12881
683	27887	12883
684	27949	12852
685	28001	12817
686	28053	12781
687	28113	12749
688	28173	12716
689	28234	12684
690	28280	12646
691	28319	12604
692	28371	12568
693	28419	12530
694	28460	12489
695	28505	12450
696	28551	12412
697	28603	12375
698	28652	12338
699	28708	12303
700	28758	12266
701	28801	12226
702	28843	12185
703	28889	12146
704	28961	12118
705	29022	12085
706	29075	12049
707	29134	12015
708	29190	11981
709	29243	11944
710	29293	11906
711	29324	11861
712	29357	11817
713	29391	11772
714	29423	11728
715	29458	11684
716	29493	11640
717	29525	11596
718	29559	11552
719	29596	11509
720	29634	11467
721	29667	11423
722	29695	11377
723	29735	11335
724	29777	11294
725	29814	11252
726	29850	11209
727	29886	11166
728	29921	11123
729	29955	11079
730	29992	11036
731	30023	10992
732	30054	10947
733	30085	10902
734	30117	10858
735	30154	10816
736	30185	10771
737	30220	10728
738	30261	10687
739	30303	10647
740	30349	10608
741	30386	10565
742	30420	10522
743	30461	10481
744	30490	10436
745	30523	10392
746	30559	10349
747	30594	10307
748	30626	10263
749	30658	10219
750	30690	10175
751	30728	10133
752	30760	10090
753	30797	10047
754	30854	10012
755	30911	9976
756	30959	9938
757	30995	9895
758	31031	9853
759	31059	9808
760	31089	9763
761	31124	9721
762	31153	9676
763	31186	9633
764	31211	9587
765	31242	9544
766	31272	9500
767	31302	9456
768	31336	9413
769	31363	9368
770	31394	9324
771	31424	9280
772	31460	9238
773	31490	9194
774	31521	9151
775	31559	9110
776	31591	9066
777	31624	9023
778	31655	8980
779	31692	8938
780	31722	8895
781	31757	8853
782	31791	8810
783	31841	8772
784	31898	8736
785	31948	8698
786	31985	8656
787	32022	8615
788	32055	8572
789	32089	8530
790	32125	8488
791	32165	8447
792	32198	8405
793	32232	8362
794	32263	8319
795	32297	8277
796	32328	8234
797	32359	8191
798	32386	8147
799	32419	8104
800	32451	8062
801	32481	8019
802	32512	7976
803	32544	7933
804	32574	7890
805	32618	7851
806	32656	7809
807	32699	7770
808	32754	7733
809	32818	7698
810	32866	7659
811	32916	7621
812	32961	7581
813	32998	7540
814	33040	7499
815	33073	7457
816	33105	7415
817	33134	7372
818	33171	7330
819	33213	7290
820	33256	7250
821	33308	7212
822	33351	7172
823	33388	7131
824	33439	7093
825	33484	7053
826	33529	7014
827	33574	6974
828	33613	6933
829	33662	6894
830	33705	6854
831	33747	6814
832	33797	6775
833	33842	6735
834	33888	6696
835	33929	6656
836	33974	6616
837	34017	6576
838	34068	6537
839	34119	6498
840	34158	6458
841	34195	6416
842	34236	6376
843	34295	6338
844	34349	6300
845	34532	6286
846	34607	6251
847	34652	6211
848	34685	6169
849	34721	6127
850	34754	6085
851	34786	6042
852	34820	6000
853	34856	5959
854	34896	5918
855	34940	5877
856	34990	5838
857	35049	5800
858	35101	5761
859	35153	5722
860	35198	5682
861	35242	5642
862	35287	5601
863	35319	5559
864	35352	5517
865	35385	5475
866	35418	5433
867	35449	5390
868	35480	5348
869	35519	5307
870	35554	5265
871	35585	5223
872	35616	5181
873	35647	5139
874	35681	5097
875	35710	5054
876	35739	5012
877	35768	4970
878	35797	4927
879	35827	4885
880	35858	4843
881	35888	4801
882	35921	4759
883	35950	4717
884	35977	4675
885	36010	4633
886	36041	4591
887	36074	4549
888	36103	4507
889	36134	4466
890	36181	4426
891	36217	4385
892	36249	4343
893	36279	4301
894	36312	4260
895	36346	4218
896	36384	4177
897	36420	4136
898	36460	4096
899	36506	4056
900	36543	4015
901	36582	3974
902	36612	3932
903	36640	3891
904	36670	3849
905	36714	3809
906	36752	3768
907	36789	3727
908	36826	3686
909	36896	3649
910	36969	3611
911	37033	3573
912	37096	3534
913	37162	3496
914	37205	3456
915	37249	3415
916	37304	3376
917	37359	3337
918	37401	3296
919	37442	3255
920	37478	3214
921	37520	3174
922	37558	3133
923	37598	3092
924	37633	3051
925	37672	3010
926	37708	2969
927	37741	2928
928	37773	2886
929	37806	2845
930	37841	2804
931	37874	2763
932	37909	2722
933	37941	2681
934	37973	2639
935	38004	2598
936	38040	2557
937	38075	2516
938	38122	2476
939	38158	2435
940	38212	2395
941	38258	2355
942	38320	2316
943	38369	2276
944	38418	2236
945	38469	2195
946	38515	2155
947	38561	2115
948	38605	2074
949	38649	2034
950	38687	1993
951	38732	1952
952	38778	1912
953	38825	1872
954	38869	1831
955	38910	1790
956	38954	1750
957	39002	1709
958	39054	1669
959	39106	1629
960	39154	1589
961	39209	1548
962	39254	1508
963	39313	1468
964	39350	1427
965	39405	1386
966	39461	1346
967	39523	1306
968	39566	1265
969	39621	1225
970	39679	1185
971	39723	1144
972	39783	1103
973	39835	1063
974	39881	1022
975	39918	981
976	39955	940
977	39993	899
978	40031	858
979	40075	817
980	40120	777
981	40171	736
982	40228	695
983	40274	654
984	40320	614
985	40370	573
986	40416	532
987	40448	491
988	40481	450
989	40514	409
990	40550	368
991	40581	327
992	40615	286
993	40655	245
994	40692	204
995	40730	163
996	40765	122
997	40798	81
998	40832	40
999	40867	0
